is_used,account,is_loggedin,is_agree,is_ended,issued_at
0,1311BV,0,0,0,
0,1312BF,0,0,0,
0,1313BL,0,0,0,
0,1314BV,0,0,0,
0,1315BR,0,0,0,
0,1316BM,0,0,0,
0,1317BC,0,0,0,
0,1318BR,0,0,0,
0,1319BN,0,0,0,
0,1320BX,0,0,0,
0,1321BP,0,0,0,
0,1322BV,0,0,0,
0,1323BV,0,0,0,
0,1324BR,0,0,0,
0,1325BS,0,0,0,
0,1326BE,0,0,0,
0,1327BG,0,0,0,
0,1328BM,0,0,0,
0,1329BG,0,0,0,
0,1330BT,0,0,0,
0,1331BC,0,0,0,
0,1332BG,0,0,0,
0,1333BA,0,0,0,
0,1334BT,0,0,0,
0,1335BH,0,0,0,
0,1336BE,0,0,0,
0,1337BD,0,0,0,
0,1338BQ,0,0,0,
0,1339BG,0,0,0,
0,1340BT,0,0,0,
0,1341BK,0,0,0,
0,1342BV,0,0,0,
0,1343BN,0,0,0,
0,1344BR,0,0,0,
0,1345BP,0,0,0,
0,1346BY,0,0,0,
0,1347BQ,0,0,0,
0,1348BL,0,0,0,
0,1349BL,0,0,0,
0,1350BC,0,0,0,
0,1351BA,0,0,0,
0,1352BR,0,0,0,
0,1353BX,0,0,0,
0,1354BH,0,0,0,
0,1355BR,0,0,0,
0,1356BD,0,0,0,
0,1357BR,0,0,0,
0,1358BF,0,0,0,
0,1359BE,0,0,0,
0,1360BW,0,0,0,
0,1361BP,0,0,0,
0,1362BM,0,0,0,
0,1363BT,0,0,0,
0,1364BC,0,0,0,
0,1365BS,0,0,0,
0,1366BL,0,0,0,
0,1367BM,0,0,0,
0,1368BR,0,0,0,
0,1369BM,0,0,0,
0,1370BW,0,0,0,
0,1371BF,0,0,0,
0,1372BH,0,0,0,
0,1373BM,0,0,0,
0,1374BP,0,0,0,
0,1375BQ,0,0,0,
0,1376BH,0,0,0,
0,1377BQ,0,0,0,
0,1378BQ,0,0,0,
0,1379BG,0,0,0,
0,1380BA,0,0,0,
0,1381BL,0,0,0,
0,1382BX,0,0,0,
0,1383BA,0,0,0,
0,1384BM,0,0,0,
0,1385BK,0,0,0,
0,1386BM,0,0,0,
0,1387BW,0,0,0,
0,1388BS,0,0,0,
0,1389BT,0,0,0,
0,1390BX,0,0,0,
0,1391BP,0,0,0,
0,1392BM,0,0,0,
0,1393BM,0,0,0,
0,1394BL,0,0,0,
0,1395BM,0,0,0,
0,1396BC,0,0,0,
0,1397BE,0,0,0,
0,1398BW,0,0,0,
0,1399BA,0,0,0,
0,1400BA,0,0,0,
0,5001TS,0,0,0,
0,5002TS,0,0,0,
0,5003TS,0,0,0,
